ril_gen,ril,gen,ht_ctrl,ht_t,spad_ctrl,spad_t,rwc_ctrl,rwc_t,agb_ctrl,agb_t,bgb_ctrl,bgb_t,lt_ctrl,lt_t
L38_F5,L38,F5,11.6,8.8,31.6,25.1,114.2857143,77.35849057,0.5791,0.2323,0.1709,0.1307,27.4,34.2
L38_F5,L38,F5,9.9,7.4,32.1,22.3,102.4390244,12.5,0.5361,0.1422,0.1501,0.0724,31.3,36.2
L38_F5,L38,F5,15,8.1,33.5,29,87.23404255,93.5483871,0.2824,0.0951,0.1229,0.0572,NA,NA
L38_F5,L38,F5,13.8,6.6,34.7,20.8,93.02325581,100,0.4098,0.1872,0.1372,0.0724,NA,NA
L39_F5,L39,F5,14.7,10.1,31,29.9,96.49122807,34.17721519,0.8023,0.2652,0.4436,0.1084,NA,NA
L39_F5,L39,F5,15.9,10.8,30.2,NA,104,NA,1.0906,0.1956,0.2147,0.0764,NA,NA
L39_F5,L39,F5,13.2,10.6,24.8,19.4,95.39473684,18.36734694,0.6943,0.1921,0.2455,0.0524,NA,NA
L39_F5,L39,F5,20.8,9.6,29.7,26.5,89.09090909,17.84511785,0.7553,0.2025,0.2494,0.0744,NA,NA
L4_F5,L4,F5,12.3,9.9,16.8,14.7,42.42424242,4.166666667,0.4747,0.1862,0.3002,0.0973,27.7,31.6
L4_F5,L4,F5,13.8,9.7,24.8,11.9,97.61904762,24.57142857,0.5095,0.2323,0.1649,0.1522,32.7,30.6
L4_F5,L4,F5,13.6,10.8,22.5,19,95.58823529,97.22222222,0.4796,0.1798,0.2543,0.1872,NA,NA
L4_F5,L4,F5,11.8,9.9,24.5,20.9,93.90243902,87.5,0.5315,0.1489,0.3381,0.0656,NA,NA
L40_F3,L40,F3,13.4,10,29.1,22.6,96.55172414,52.08333333,0.2161,0.2548,0.0582,0.1759,30.8,32.6
L40_F3,L40,F3,13.3,9.5,31.1,13.2,95,28.125,0.4119,0.1507,0.1482,0.0849,33,30.9
L40_F3,L40,F3,10.4,11.4,26.2,27.2,98.21428571,75,0.4623,0.2387,0.3436,0.0987,NA,NA
L40_F3,L40,F3,14.5,10,24.3,19.6,78,68.42105263,0.5318,0.2189,0.1892,0.1586,NA,NA
L41_F3,L41,F3,13.8,7.4,24.6,17.2,87.87878788,94.59459459,0.6412,0.1383,0.3487,0.1014,30.5,33.2
L41_F3,L41,F3,14,8,23,20.3,100,100,0.5084,0.1524,0.3268,0.111,30.6,34.4
L41_F3,L41,F3,15.8,8,32.5,16.5,91.91919192,60.41666667,0.7082,0.1814,0.2385,0.1758,NA,NA
